"Source:","/home/hw/kicad_projects/synth/MFOS_LFO/MFOS_LFO.kicad_sch"
"Date:","Thu 20 Jul 2023 01:40:06 PM EDT"
"Tool:","Eeschema 6.0.8-f2edbf62ab~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","95"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"9","3","Q1, Q2, Q6","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"10","1","Q3","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
"11","2","Q4, Q5","MPF102","Transistor_FET:BF245C","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BF245A-D.PDF"
"12","3","R1, R4, R37","100K","Device:R_Potentiometer","","~"
"13","2","R2, R20","4.7K","Device:R","","~"
"14","11","R3, R11, R35, R40, R41, R44, R47, R51, R52, R58, R59","10K","Device:R","","~"
"15","10","R5, R7, R13, R27, R30, R33, R36, R42, R56, R61","100K","Device:R","","~"
"16","1","R8","3M","Device:R","","~"
"17","2","R10, R63","4.7M","Device:R","","~"
"18","2","R14, R19","2K","Device:R","","~"
"19","7","R15, R21, R26, R29, R53, R57, R60","1K","Device:R","","~"
"20","1","R16","680K","Device:R","","~"
"21","1","R17","120K","Device:R","","~"
"22","1","R18","270K","Device:R","","~"
"23","1","R22","39K","Device:R","","~"
"24","1","R23","180K","Device:R","","~"
"25","1","R24","2M","Device:R","","~"
"26","1","R25","100K","dhk:R_Potentiometer_Trim","","~"
"27","1","R28","110K","Device:R","","~"
"28","2","R31, R62","27K","Device:R","","~"
"29","2","R32, R50","15K","Device:R","","~"
"30","1","R34","1M","Device:R","","~"
"31","2","R38, R43","20k","Device:R","","~"
"32","2","R39, R49","30K","Device:R","","~"
"33","1","R45","9.1K","Device:R","","~"
"34","1","R46","2K","dhk:R_Potentiometer_Trim","","~"
"35","3","R48, R54, R55","47K","Device:R","","~"
"36","1","U1","TL072","Amplifier_Operational:TL072","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"37","3","U2, U5, U6","TL082","Amplifier_Operational:TL082","","http://www.ti.com/lit/ds/symlink/tl081.pdf"
"38","1","U3","LM13700","Amplifier_Operational:LM13700","","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
"39","1","U4","TL082",":TL082_1","","http://www.ti.com/lit/ds/symlink/tl081.pdf"
