"Source:","/home/hw/kicad_projects/synth/MFOS_STEREO_MIXER/MFOS_STEREO_MIXER.kicad_sch"
"Date:","Wed 12 Jul 2023 08:14:48 AM EDT"
"Tool:","Eeschema 6.0.8-f2edbf62ab~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R71","150K","Device:R","","~"
"","","R72","100K","dhk:R_Potentiometer_Dual_Audio_Taper","","~"
"","","R73","150K","Device:R","","~"
"","","R74","300K","Device:R","","~"
"","","R75","4.7K","Device:R","","~"
"","","R76","100K","dhk:R_Potentiometer_Dual_Audio_Taper","","~"
"","","R77","100K","Device:R","","~"
"","","R78","100K","Device:R","","~"
"","","R79","4.7K","Device:R","","~"
"","","R80","300K","Device:R","","~"
"","","R81","300K","Device:R","","~"
"","","R82","10","Device:R","","~"
"","","R83","300K","Device:R","","~"
"","","R84","300K","Device:R","","~"
"","","R85","10","Device:R","","~"
"","","R86","1K","Device:R","","~"
"","","U1","TL071","Amplifier_Operational:TL071","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U2","TL071","Amplifier_Operational:TL071","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U3","TL071","Amplifier_Operational:TL071","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U4","TL071","Amplifier_Operational:TL071","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U5","TL072","Amplifier_Operational:TL072","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U6","TL072",":TL072_2","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U7","TL072",":TL072_3","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U8","LM386","Amplifier_Audio:LM386","","http://www.ti.com/lit/ds/symlink/lm386.pdf"
"","","U9","LM386","Amplifier_Audio:LM386","","http://www.ti.com/lit/ds/symlink/lm386.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","14","C1, C3, C5, C7, C16, C17, C18, C20, C21, C22, C23, C33, C43, C44",".1uF","Device:C","","~"
"2","10","C2, C4, C6, C8, C11, C14, C31, C32, C41, C42","10pF","Device:C","","~"
"3","12","C9, C10, C12, C13, C24, C25, C26, C27, C34, C35, C36, C37","47uF","Device:C_Polarized","","~"
"4","2","C15, C19","10uF","Device:C_Polarized","","~"
"5","2","C28, C39","1uF","Device:C_Polarized","","~"
"6","2","C29, C38","220uF","Device:C_Polarized","","~"
"7","2","C30, C40","0.047uF","Device:C","","~"
"8","18","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J18, J19","Jack-DC","Connector:Jack-DC","","~"
"9","1","J17","AudioJack2_Ground","Connector:AudioJack2_Ground","","~"
"10","1","LED1","LED","Device:LED","","~"
"11","12","R2, R9, R13, R17, R24, R28, R32, R39, R43, R47, R54, R58","100K","dhk:R_Potentiometer_Audio_Taper","","~"
"12","4","R3, R18, R33, R48","47K","Device:R","","~"
"13","4","R4, R19, R34, R49","470K","Device:R","","~"
"14","16","R5, R6, R8, R15, R20, R21, R23, R30, R35, R36, R38, R45, R50, R51, R53, R60","120K","Device:R","","~"
"15","4","R7, R22, R37, R52","100K","Device:R_Potentiometer","","~"
"16","16","R10, R11, R12, R14, R25, R26, R27, R29, R40, R41, R42, R44, R55, R56, R57, R59","20K","Device:R","","~"
"17","8","R61, R62, R64, R66, R68, R69, R71, R73","150K","Device:R","","~"
"18","5","R63, R65, R70, R72, R76","100K","dhk:R_Potentiometer_Dual_Audio_Taper","","~"
"19","6","R67, R74, R80, R81, R83, R84","300K","Device:R","","~"
"20","2","R75, R79","4.7K","Device:R","","~"
"21","2","R77, R78","100K","Device:R","","~"
"22","2","R82, R85","10","Device:R","","~"
"23","1","R86","1K","Device:R","","~"
"24","4","U1, U2, U3, U4","TL071","Amplifier_Operational:TL071","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"25","1","U5","TL072","Amplifier_Operational:TL072","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"26","1","U6","TL072",":TL072_2","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"27","1","U7","TL072",":TL072_3","","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"28","2","U8, U9","LM386","Amplifier_Audio:LM386","","http://www.ti.com/lit/ds/symlink/lm386.pdf"
